gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
A115,kEH_HG,134DE,U+134DE,HJ A115,A115,A-07-005,"Man, seated, right knee raised, right arm raised, holding a basin or wickerwork basket at the height of the shoulder, left arm hanging beside the body. ",Classifier swallowing,C
A116,kEH_HG,13049,U+13049,A064,A116,A-07-006,"Man, seated on heel, both knees down, back straight, arm extended in front, forearm horizontal, holding a wide cup (W10). ","Classifier to lift, to carry",C
A116B,kEH_HG,134DD,U+134DD,HJ A116B,A116B,A-07-003,"Man, seated, right knee raised, right arm raised, holding a cup or vessel, about the size of the hand, at the height of the shoulder, left arm in front of the body.",Logogram (to drink),C
A119,kEH_HG,134EA,U+134EA,HJ A119,A119,A-07-031,"Man, seated, right knee raised, horned viper on his head, right arm raised in front, holding the viper at the neck, left arm hanging beside the body.","Logogram (to lift, to carry)",C
A119A,kEH_HG,13503,U+13503,HJ A119A,A119A,A-08-013,,,
A12,kEH_HG,1300E,U+1300E,A012,A12,A-17-003,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),C
A121,kEH_HG,134ED,U+134ED,HJ A121,A121,A-07-035,"Man, seated, right knee raised, with a circle (sun disk) on his head, arms raised at either side of the body, supporting the sign for the sky (N1) which has the points at the hands, with the sign on top of the circle.",Logogram (Heh (divinity)),C
A121C,kEH_HG,13504,U+13504,HJ A121C,A121C,A-08-014,"Man, standing, arms raised at either side of the body, supporting the sign for the sky (N1).",Logogram (to suppport/to raise the sky),C
A123,kEH_HG,134FE,U+134FE,HJ A123,A123,A-08-005,"Man, standing, a horizontal oval on his head, right arm raised in front, with the hand at the oval, left arm hanging beside the body.","Classifier to lift, to carry",C
A124,kEH_HG,13500,U+13500,HJ A124,A124,A-08-008,"Man, standing, a circle on his head, right arm raised in front, with the hand at the circle, left arm hanging beside the body.",Phonemogram,C
A125,kEH_HG,13501,U+13501,HJ A125,A125,A-08-009,"Man, standing, arms raised at either side of the body, supporting a vessel with a small base and a broad rim (W77), with three vertical oval loaves of bread on top of it.",Logogram (to raise up offerings),C
A12A,kEH_HG,135AA,U+135AA,HJ A012A,A12A,A-17-015,"Man, seated, right knee raised, right arm in front, forearm horizontal, holding a shield, left arm in front of the body, holding a mace (T3) which angles backwards, leaning against the shoulder, mace head above the shoulder.",Logogram (army),C
A12C,kEH_HG,1359B,U+1359B,HJ A012C,A12C,A-16-041,"Man, seated on heel, right leg extended with foot in front of the left leg, right arm forward, forearm horizontal, holding a shield, left arm in front of the body.",,C
A12D,kEH_HG,1359C,U+1359C,HJ A012D,A12D,A-16-042,"Man, seated, right knee raised, right arm forward, holding a mace (T3), angling backwards, left arm over the body, holding a mace (T3), angling backwards against the left shoulder. ",Classifier army,C
A13,kEH_HG,1300F,U+1300F,A013,A13,A-18-001,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,C
A131A,kEH_HG,13508,U+13508,HJ A131A,A131A,A-08-025,"Man, standing, with a child (A17: knees at 90 degree, both lower legs visible, slightly apart, right arm raised with hand to mouth, left arm hanging beside the body) on his head, right arm raised, supporting the child, left arm hanging beside the body.",Phonemogram,C
A131C,kEH_HG,134FC,U+134FC,HJ A131C,A131C,A-07-060,"Man, seated on heel, both knees down, both arms extended in front, supporting a child (A17: knees at 90 degree, both lower legs visible, slightly apart, right arm raised with hand to mouth, left arm hanging beside the body).",Phonemogram,C
A133A,kEH_HG,13515,U+13515,HJ A133A,A133A,A-09-013,,,
A133B,kEH_HG,1351D,U+1351D,HJ A133B,A133B,A-09-031,"Man, seated on heel, right leg extended with the foot in front of the left knee, both arms extended forwards, one arm at the height of the shoulder, one at the height of the of the chest, hand palms horizontal, hand palms upwards, inside a double dotted line running from two vessels with a small base and a broad rim (W77), in front and behind the man, with the double line of dots curving over the man.","Logogram (pure, clean)",C
A135B,kEH_HG,13521,U+13521,HJ A135B,A135B,A-10-003,,,
A135C,kEH_HG,13522,U+13522,HJ A135C,A135C,A-10-007,"Man, standing, right arm forward, holding a tall water pot with a spout at 45 degree, with water issuing from the spout, left arm hanging beside the body.",Logogram (to pour),C
A135D,kEH_HG,13523,U+13523,HJ A135D,A135D,A-10-009,"Man, standing, both arms forward, holding a vessel at the height of the waist, with a dotted line coming from the vessel.",Logogram (to libate)?,C
A136,kEH_HG,13524,U+13524,HJ A136,A136,A-10-012,"Man, standing, both arms forward, right forearm above left forearm, with a ripple of water (N35) written nearly horizontally above the right forearm and hand.",Classifier greeting,C
A139A,kEH_HG,13547,U+13547,HJ A139A,A139A,A-12-064,"A man, seated, right knee raised, both arms forwards, holding a book roll with the first page unrolled.",Classifier to open (a scroll),C
A13A,kEH_HG,135AF,U+135AF,HJ A013A,A13A,A-18-003,"Man (enemy), seated on heel, both knees down, with a line of liquid coming from the top of the head, towards the front, curving downwards, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,C
A13B,kEH_HG,135B0,U+135B0,HJ A013B,A13B,A-18-007,"Man, seated on heel, both knees down, with a line of liquid coming from the face/neck, towards the front, curving downwards, both arms behind the back, bound together with rope.",Classifier rebel,C
A13E,kEH_HG,135B6,U+135B6,HJ A013E,A13E,A-18-023,"Man (foreigner), seated on heel, right knee raised, with foreign headdress and bushy beard, both arms behind the back, bound with rope. ",Classifier Syrian,C
A13F,kEH_HG,135B7,U+135B7,HJ A013F,A13F,A-18-024,"Man (enemy), with hands bound to feet at the back.",Classifier enemy/rebel (Xerxes),C
A13G,kEH_HG,135B8,U+135B8,HJ A013G,A13G,A-18-027,"Man (enemy), without head, with hands bound to feet at the back.",Classifier evil one,C
A14,kEH_HG,13010,U+13010,A014,A14,A-18-081,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",C
A141,kEH_HG,1352B,U+1352B,HJ A141,A141,A-12-004,"Man, seated on heel, right knee raised, back slightly bent, both arms forward, holding a reed pipe ending in a tuyère at his mouth, behind a vessel from which a flame, which angles away from the man, comes.",Classifier melting/casting,C
A142,kEH_HG,1352C,U+1352C,HJ A142,A142,A-12-005,"Man, seated on heel, left knee raised, right hand forward, holding the top of a horizontal drill of a bow-drill, with the point of the drill in a N25-like base, left arm in front of the body, holding the bow of the bow-drill.",Logogram (overseer of the deserts),C
A143,kEH_HG,1352D,U+1352D,HJ A143,A143,A-12-006,"Man, kneeling on both knees, toes down, back bent forwards, both arms downwards on top of a grindstone.",Classifier grinding,
A143A,kEH_HG,13540,U+13540,HJ A143A,A143A,A-12-050,"Man, seated, both knees down, back bent forwards, both arms extended forwards, hands at a brick or block which is at the level of the knees.",Classifier pot-stand/sideboard,C
A144,kEH_HG,1352F,U+1352F,HJ A144,A144,A-12-009,"Man, standing, back bent forwards, both arms downwards, holding a rectangular grain measure vessel.",Classifier (to measure),C
A148,kEH_HG,13530,U+13530,HJ A148,A148,A-12-016,"Man, standing, back bent forward, right arm forward, holding a bundle of grain stalks, left arm in front of the body, holding a sickle with the point at the base of the bundle of grain stalks.",Classifier reaping/harvesting,C
A14A,kEH_JSesh,13011,U+13011,A014A,A14A,A-18-074,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,C
A14B,kEH_HG,135CF,U+135CF,HJ A014B,A14B,A-18-078,"Man, seated on heel, both knees down, both arms forward, holding an axe with the axeblade in the head of the man.",Logogram (rebel),C
A14C,kEH_HG,135D0,U+135D0,HJ A014C,A14C,A-18-079,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, holding and axe with the axeblade in the head of the man.",Logogram enemy/rebel,C
A14D,kEH_HG,135D2,U+135D2,HJ A014D,A14D,A-18-082,,,
A14G,kEH_HG,135CC,U+135CC,HJ A014G,A14G,A-18-069,"Man, curled up, right and left leg separated, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade close/in the forehead.",Classifier rebel,C
A14H,kEH_HG,135D1,U+135D1,HJ A014H,A14h,A-18-080,,,
A14I,kEH_HG,135CE,U+135CE,HJ A014I,A14I,A-18-077,,,
A15,kEH_HG,13012,U+13012,A015,A15,A-05-004,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),C
A150,kEH_HG,13531,U+13531,HJ A150,A150,A-12-017,"Man, standing, back bent forward, both arms toward the front, holding a hammer with a round head, above a spike or pointy pole.",Logogram (to drive in the mooring post),C
A153,kEH_HG,136C9,U+136C9,HJ A153,A153,A-34-010,"The king, seated on heel, both knees down, with a long straight beard, uraeus and coif/long wig, both arms forward, at the top of a sealed ointment jar (W2).",Classifier (ointment vessel in the shape of the king),C
A153A,kEH_HG,136CA,U+136CA,HJ A153A,A153A,A-34-011,"The king, seated on heel, both knees down, with a long straight beard, uraeus and coif/long wig, back bent forward, arm forward, hand at the height of the waist, holding a cup or vessel (W10).",Classifier wine,C
A158,kEH_HG,1353A,U+1353A,HJ A158,A158,A-12-034,"Man, seated on a chair, at a potter's wheel with a vessel on top of it, both arms forward, near the top of the wheel, right leg extended, right foot at the base of the potter's wheel.","Logogram (to create, to shape)",C
A158B,kEH_HG,1353B,U+1353B,HJ A158B,A158B,A-12-036,"Man, standing at a potter's wheel with a lump of clay on top of it, right leg extended, right foot at the base of the potter's wheel, both arms extended in front, right hand above the lump of clay, left hand at the top of the potter's wheel.","Classifier to create, to shape",C
A158D,kEH_HG,1353C,U+1353C,HJ A158D,A158D,A-12-040,"Man, kneeling, right foot with the toes on the ground, left foot flat on the ground, back bent forwards, arms extended forward, hands at the rim of a vessel on a low hand operated potter's wheel.",Classifier to create,C
A158F,kEH_HG,1353D,U+1353D,HJ A158F,A158F,A-12-041,"Man, standing, back bent forwards, arms extended forward, hands at the rim of a vessel on a low hand operated potter's wheel.",Classifier to create,C
A16,kEH_HG,13013,U+13013,A016,A16,A-04-005,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,C
A160,kEH_HG,1354E,U+1354E,HJ A160,A160,A-13-003,"Man, seated, both knees up, with covered legs and arms, with short straight beard and short hair/wig, holding a crook (HqA, S38), with the opening outwards.",Logogram (to guard),C
A165,kEH_HG,13567,U+13567,HJ A165,A165,A-14-012,"Man, seated, right knee raised, right arm extended forward, holding a bag with one tie, oriented away from the body, left arm in front of the body.",Logogram (prospector),C
A166,kEH_HG,13565,U+13565,HJ A166,A166,A-14-008,"Man, standing, arms at either side of the body, holding either side of a stick that lies nearly horizontally over his shoulders.",Logogram (herdsman),C
A168,kEH_HG,1356B,U+1356B,HJ A168,A168,A-15-001,"Man, standing, right arm forward, forearm horizontal, holding a sedge plant (M23), which curves towards the front, left arm hanging beside the body.",Logogram (elder),C
A169,kEH_HG,1356E,U+1356E,HJ A169,A169,A-15-005,"Man, standing, both arms forward, left arm at the height of the shoulder, right hand at the height of the waist, holding a wick of twisted flax, consisting of a singular loop at the top (V28A).",Logogram (to protect),C
A16A,kEH_HG,134A6,U+134A6,HJ A016A,A16A,A-04-003,,,
A16B,kEH_HG,134A9,U+134A9,HJ A016B,A16B,A-04-009,,,
A16C,kEH_HG,134A8,U+134A8,HJ A016C,A16C,A-04-008,"Man, standing, bent forwards, front arm hanging downwards towards the front, rear arm bent at 90 degree, forearm and hand horizontal, rear arm hand extending beyond the front arm, at hip level.",Classifier bowing,C
A17,kEH_HG,13014,U+13014,A017,A17,A-23-002,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,C
A170,kEH_HG,1356F,U+1356F,HJ A170,A170,A-15-006,"Man, standing, both arms forward, right hand on top of a two-pronged mast of a ship with multiple horizontal lines between the prongs (P6), left hand below the two prongs. ",Logogram (to erect),C
A171,kEH_HG,13570,U+13570,HJ A171,A171,A-15-008,"Man, standing, right arm forwards, hand at the height of the waist, left arm back, hand a the height of the waist, holding a rope in both hands which is connected to a djed pillar (R011) written at 45 degree forward.",Logogram (to erect the djed pillar),C
A174,kEH_HG,13573,U+13573,HJ A174,A174,A-15-013,"Man, standing, right arm forward, hand at the height of the waist, holding the sign for longs and windpipe (F36) of the same size as the man, left arm hanging beside the body.",Logogram (elder),C
A176A,kEH_HG,13575,U+13575,HJ A176A,A176A,A-15-017,"Man, standing, head facing towards the back, right arm towards the front, hand held horizontally at the height of the shoulder, holding a triangular object, left arm towards the front, left hand nearly vertically, between the triangle and the head.",Logogram (myrrh),C
A17A,kEH_HG,1361E,U+1361E,A275,A275,A-23-008,"Child, seated on nothing, forelegs spread, right arm raised in front, hand vertical, hand palm outwards, left arm hanging beside the body.","Classifier to sit, to be comfortable",C
A17B,kEH_HG,13636,U+13636,HJ A017B,A17B,A-23-054,"Child, seated on nothing, one leg visible, right arm raised in front with hand to mouth, left arm hanging beside the body.",Logogram (son/child of),C
A17C,kEH_HG,1362B,U+1362B,HJ A017C,A17C,A-23-032,,,
A17D,kEH_HG,1361D,U+1361D,HJ A017D,A17D,A-23-003,"A child, seated on nothing, forelegs separated, with a side-lock written behind the head, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,C
A18,kEH_HG,13016,U+13016,A018,A18,A-23-030,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),C
A181,kEH_HG,13579,U+13579,HJ A181,A181,A-15-028,"Man, standing, right arm extended forwards, arm horizontal, holding the sky (N1) on his hand, left arm hanging beside the body.",Logogram (Onuris),C
A182,kEH_HG,1357A,U+1357A,HJ A182,A182,A-15-029,"Man, standing, right arm forward, right hand held horizontally at the height of the waist, holding an eye with the markings of the head of a falcon (D10), left arm hanging beside the body.",Logogram (Onuris),C
A183,kEH_HG,1357B,U+1357B,HJ A183,A183,A-15-030,"Man, standing, left arm hanging beside the body, right arm forward, forearm horizontal, holding a sceptre.",,C
A184,kEH_HG,134F1,U+134F1,HJ A184,A184,A-07-042,"Man, seated, right knee raised, right arm raised in front, holding a loop of cord with the ties at the top, at the height of the shoulder, left arm hanging beside the body.","Phonemogram (in snm.t, the island Biga)",C
A184A,kEH_HG,1357C,U+1357C,HJ A184A,A184A,A-15-031,"Man, standing, right arm forwards, right hand held horizontally at the height of the waist, holding a loop of cord with the ties upwards (V6), left arm hanging beside the body.",Logogram (prospector),C
A186,kEH_HG,1357F,U+1357F,HJ A186,A186,A-15-035,"Man, standing, both arms forward, right forearm above the left forearm, holding a door written horizontally, with the long side toward the body.",Logogram (gatekeeper),C
A187,kEH_HG,1357D,U+1357D,HJ A187,A187,A-15-033,,,
A188,kEH_HG,13581,U+13581,HJ A188,A188,A-15-041,,,
A189,kEH_HG,13583,U+13583,HJ A189,A189,A-15-044,"Man, standing, right arm extended forwards, arm horizontal, holding a rectangular sail, on a mast of a ship with two prongs, connected by vertical lines (P6), written behind the sail (P5), left arm hanging beside the body.",Logogram (to raise the sail),C
A19,kEH_HG,134CC,U+134CC,A019X,,A-06-013,,,
A190,kEH_HG,1350F,U+1350F,HJ A190,A190,A-08-042,"Man, standing, bent forwards, both arms forwards, holding a cup or vessel at the height of the knees.",Classifier death,C
A195,kEH_HG,1348D,U+1348D,HJ A195,A195,A-02-012,"Two man standing, the first leading the second by the hand.",Classifier deserter/wanderer,C
A199,kEH_HG,13591,U+13591,HJ A199,A199,A-16-014,"Man, standing, arms extended at either side of the body, forearms horizontal at the height of the waist, holding a knife in both hands, angling away from the body.",Classifier driving away,C
A199A,kEH_HG,1304D,U+1304D,A068,A199A,A-16-009,"Man, standing, right arm forward, forearm horizontal at the height of the waist, holding a knife (T30) at a forward angle, left arm hanging beside the body.",Logogram (messenger),C
A1C,kEH_HG,13483,U+13483,HJ A001C,A1C,A-01-067,"Man, seated, right knee raised, right arm raised in front, left arm not shown.",Classifier human being,C
A2,kEH_HG,13001,U+13001,A002,A2,A-01-027,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,C
A20,kEH_HG,13018,U+13018,A020,A20,A-06-009,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),C
A200,kEH_HG,13593,U+13593,HJ A200,A200,A-16-016,"Man, standing, holding a harpoon with the point down, diagonally over the body, from the tip of the right foot beyond the left shoulder, right arm lowered, right hand holding the harpoon between the waist and knee, left arm raised, holding the shaft near the end.",Classifier (harpooner),C
A206,kEH_HG,1359A,U+1359A,HJ A206,A206,A-16-035,"Man, standing, right arm forward, forearm and hand at the level of the waist, holding a shield angled backwards, left arm raised, forearm vertically, holding a mace with a pear shaped head, with the head of the mace above the head of the man.",,C
A207A,kEH_HG,135A4,U+135A4,HJ A207A,A207A,A-16-052,"Man (king) running, wearing the red crown (S3) right arm in front, hand at the height of the waist, holding a vertical spear with the point at the top, left arm raised, forearm nearly vertical, holding a stick which runs from the head to slightly beyond the hand.",Classifier to trample,C
A21,kEH_HG,13019,U+13019,A021,A21,A-06-005,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,C
A211,kEH_HG,135A0,U+135A0,HJ A211,A211,A-16-047,,,
A211A,kEH_HG,135A2,U+135A2,HJ A211A,A211A,A-16-049,"Man (foreign), standing, with a foreign headdress, right arm forward, holding a shield, seen from the back, left arm hanging beside the body, holding a sword, with the tip just under the shield.",Classifier army (semitic loanword),C
A212A,kEH_HG,135A3,U+135A3,HJ A212A,A212A,A-16-050,,,
A216,kEH_HG,135BC,U+135BC,HJ A216,A216,A-18-038,"Man, with hands bound to feet at the back, in front of a pole which is forked at the top, to which the man is bound.",Logogram (rebel),C
A216B,kEH_HG,135BF,U+135BF,HJ A216B,A216B,A-18-050,"Man, without head, with hands bound to feet at the back, in front of a pole which is forked at the top, to which the man is bound.",Logogram (rebel),C
A216C,kEH_HG,135C0,U+135C0,A216C,,A-18-051,"Man, seated on heel, both knees down, with a line of liquid coming from the face/neck, towards the front, curving downwards, both arms behind the back, bound together with rope, in front of a pole which is forked at the top, to which the man is bound.",,
A216D,kEH_HG,135C1,U+135C1,HJ A216D,A216D,A-18-052,"Man, seated on heel, both knees down, with a line of liquid coming from the neck/chest, towards the front, curving downwards, both arms behind the back, bound together with rope, in front of a pole which is forked at the top, to which the man is bound.",Classifier rebel,C
A216E,kEH_HG,135C2,U+135C2,HJ A216E,A216E,A-18-053,"Man, seated on heel, right knee raised, both arms behind the back, bound together with rope, in front of a pole which is forked at the top, to which the man is bound.",Classifier enemy,C
A216F,kEH_HG,135C5,U+135C5,HJ A216F,A216F,A-18-056,"Man, seated on heel, right knee raised, right foot in front of the left knee, both arms behind the back, bound with rope, in front of a pole which has a triangular top (or papyrus reed bud), to which the man is bound.",Classifier rebel,C
A216H,kEH_HG,135C6,U+135C6,HJ A216H,A216h,A-18-058,"Man, seated on heel, right knee raised, right foot in front of the left knee, a short line of rope or liquid coming from the neck, curving downwards, both arms behind the back, bound with rope, in front of a pole which has a triangular top (or papyrus reed bud), to which the man is bound.",Classifier rebel,C
A219,kEH_HG,135BE,U+135BE,HJ A219,A219,A-18-049,"Man, seated on heel, both knees down, both arms behind the back, bound with rope, behind a pole which is forked at the top, to which the man is bound with a line coming from the neck.",Logogram (rebel),C
A219A,kEH_HG,135BD,U+135BD,HJ A219A,A219A,A-18-046,,,
A21A,kEH_HG,134C6,U+134C6,HJ A021A,A21A,A-06-001,"Man, standing, right arm in front, holding a long stick/staff, left arm hanging beside the body.","Logogram (official, noble)",C
A21B,kEH_HG,134C7,U+134C7,HJ A021B,A21B,A-06-002,"Man, standing, right arm in front, holding a long stick/staff, left arm hanging beside the body, on top of a standard with the support in the center.",Logogram (9th nome of Lower Egypt),C
A22,kEH_HG,1301A,U+1301A,A022,A22,A-06-037,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,C
A221,kEH_HG,135CA,U+135CA,HJ A221,A221,A-18-065,"A pole which is forked at the top, with a man, bound hand to feet at either side of it, facing outwards, bound to the pole.",Classifier foreigners (as enemies),C
A223,kEH_HG,135D5,U+135D5,HJ A223,A223,A-18-092,"Man, standing, arms behind the back, bound with rope.",Logogram (prisoner),C
A223A,kEH_HG,135D6,U+135D6,HJ A223A,A223A,A-18-095,,,
A225,kEH_HG,135D7,U+135D7,HJ A225,A225,A-18-098,"Two men, standing, back-to-back, arms behind the back, bound to each other by the arms with rope.",Logogram (foreigner),C
A23,kEH_HG,1301B,U+1301B,A023,A23,A-27-024,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,C
A233,kEH_HG,135E3,U+135E3,HJ A233,A233,A-19-016,"Man, dancing, knees bent as if seated on nothing, right arm extended in front, forearm horizontal, left arm raised in back, forearm vertical.",Classifier youthful soldier,C
A236,kEH_HG,135E9,U+135E9,HJ A236,A236,A-19-027,"Man, dancing, right leg vertical, left knee in front of the right leg, left foot behind the right leg, right arm extended in front, forearm horizontal, hand palm upwards, left arm raised in back, left hand above the head, hand palm inwards, with a dotted line going from hand palm to hand palm.",Classifier fear/veneration,C
A239,kEH_HG,135EB,U+135EB,A239,,A-20-002,"Child, naked, with a side-lock, standing, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body.",Logogram (the great god),C
A239A,kEH_HG,135F2,U+135F2,A239S,,A-20-023,"Child, naked, with a side-lock, standing, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm forwards 45 degree, holding a bead-necklace with counterweight.",Logogram (the musician),C
A239B,kEH_HG,135EE,U+135EE,A239B,,A-20-012,"Child, naked, with a side-lock, standing, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body, holding a bead-necklace with a counterweight (S18) at the counterweight.",Logogram (the great god),C
A239C,kEH_HG,135EC,U+135EC,A239C,,A-20-006,,,
A23A,kEH_HG,13668,U+13668,HJ A023A,A23A,A-27-015,"The king, standing, with a long wig and uraeus, right arm forward, holding a stick/staff which is angled towards the body, left arm hanging beside the body, holding a piece of cloth.",Classifier sovereign,C
A23C,kEH_HG,13665,U+13665,HJ A023C,A23C,A-27-006,"King, standing, with a long wig or headcloth, with uraeus, right arm in front of the body, holding a stick angled against the right shoulder, left arm hanging beside the body.",Classifier statue,C
A23E,kEH_HG,1366A,U+1366A,HJ A023E,A23E,A-27-020,,,
A23F,kEH_HG,134CB,U+134CB,HJ A023F,A23F,A-06-007,"Man, standing, wearing a fillet with uraeus on its head, right arm in front, holding a long stick/staff, left arm hanging beside the body holding an ankh (tie or strap used with sandals) sign.",Classifier sovereign,C
A23H,kEH_HG,1366B,U+1366B,HJ A023H,A23h,A-27-025,,,
A24,kEH_HG,1301C,U+1301C,A024,A24,A-16-021,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,C
A241,kEH_HG,135FB,U+135FB,HJ A241,A241,A-20-050,"Man, standing, wearing a long sash-kilt, both arms forward, holding a triangular harp (Y16) at the height of the chest.",Logogram (to sing),C
A244,kEH_HG,135FE,U+135FE,HJ A244,A244,A-20-056,"Man, seated, right knee raised, arms at either side of the body, holding a flute, which goes from the mouth to the left foot.",Classifier playing music,C
A245A,kEH_HG,135FF,U+135FF,HJ A245A,A245A,A-20-057,"Man, standing, arms at either side of the body, holding an oval drum between the waist and the knees.",Classifier drum,C
